Species	Class	Superorder	Order	Family	Genus
Octomys mimax	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octomys
Nycticebus coucang	Mammalia	Euarchontoglires	Primates	Lorisidae	Nycticebus
Numida meleagris	Aves	Neognathae	Galliformes	Numididae	Numida
Nothoprocta perdicaria	Aves	Palaeognathae	Tinamiformes	Tinamidae	Nothoprocta
Notechis scutatus	Unclassified	Lepidosauria	Squamata	Elapidae	Notechis
Noctilio leporinus	Mammalia	Laurasiatheria	Chiroptera	Noctilionidae	Noctilio
Neovison vison	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Neovison
Neophocaena asiaeorientalis	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Neophocaena
Neomonachus schauinslandi	Mammalia	Laurasiatheria	Carnivora	Phocidae	Monachus
Nannopterum harrisi	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
Nannopterum brasilianus	Aves	Neognathae	Pelecaniformes	Phalacrocoracidae	Nannopterum
Myrmecophaga tridactyla	Mammalia	Xenarthra	Pilosa	Myrmecophagidae	Myrmecophaga
Myodes glareolus	Mammalia	Euarchontoglires	Rodentia	Cricetidae	Myodes
Myocastor coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor
Muscardinus avellanarius	Mammalia	Euarchontoglires	Rodentia	Gliridae	Muscardinus
Mus spicilegus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Mus musculus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus
Murina aurata feae	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Murina
Muntiacus reevesi	Mammalia	Laurasiatheria	Unclassified	Cervidae	Muntiacus
Muntiacus muntjak	Mammalia	Laurasiatheria	Unclassified	Cervidae	Muntiacus
Muntiacus crinifrons	Mammalia	Laurasiatheria	Unclassified	Cervidae	Muntiacus
Moschus moschiferus	Mammalia	Laurasiatheria	Unclassified	Moschidae	Moschus
Moschus chrysogaster	Mammalia	Laurasiatheria	Unclassified	Moschidae	Moschus
Moschus berezovskii	Mammalia	Laurasiatheria	Unclassified	Moschidae	Moschus
Moschus berezovskii	Mammalia	Laurasiatheria	Unclassified	Moschidae	Moschus
Mormoops blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops
Mora moro	Actinopteri	Unclassified	Gadiformes	Moridae	Mora
Monopterus albus	Actinopteri	Unclassified	Synbranchiformes	Synbranchidae	Monopterus
Monodon monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon
Monodon monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon
Mirza coquereli	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Mirza
Mirounga angustirostris	Mammalia	Laurasiatheria	Carnivora	Phocidae	Mirounga
Miniopterus schreibersii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus
Micropterus floridanus	Actinopteri	Unclassified	Centrarchiformes	Centrarchidae	Micropterus
Microgale talazaci	Mammalia	Afrotheria	Unclassified	Tenrecidae	Microgale
Microcaecilia unicolor	Amphibia	Unclassified	Gymnophiona	Siphonopidae	Microcaecilia
Mesoplodon bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon
Mesoclemmys tuberculata	Unclassified	Unclassified	Testudines	Chelidae	Mesoclemmys
Meriones unguiculatus	Mammalia	Euarchontoglires	Rodentia	Muridae	Meriones
Melanochromis auratus	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Melanochromis
Megaptera novaeangliae	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera
Megaderma lyra	Mammalia	Laurasiatheria	Chiroptera	Megadermatidae	Megaderma
Mastacembelus armatus	Actinopteri	Unclassified	Synbranchiformes	Mastacembelidae	Mastacembelus
Marmota flaviventris	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Marmota
Manis tricuspis	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis
Mandrillus sphinx	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus
Mammalia	Mammalia	Unclassified	Unclassified	Unclassified	Unclassified
Madoqua kirkii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Madoqua
Macrotus californicus	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Macrotus
Macroglossus sobrinus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Macroglossus
Macquaria australasica	Actinopteri	Unclassified	Centrarchiformes	Percichthyidae	Macquaria
Maccullochella peelii	Actinopteri	Unclassified	Centrarchiformes	Percichthyidae	Maccullochella
Macaca fuscata	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Macaca
Lynx canadensis	Mammalia	Laurasiatheria	Carnivora	Felidae	Lynx
Lycaon pictus	Mammalia	Laurasiatheria	Carnivora	Canidae	Lycaon
Lota lota	Actinopteri	Unclassified	Gadiformes	Lotidae	Lota
Litocranius walleri	Mammalia	Laurasiatheria	Unclassified	Bovidae	Litocranius
Lonchura striata domestica	Aves	Neognathae	Passeriformes	Estrildidae	Lonchura
Limosa lapponica baueri	Aves	Neognathae	Charadriiformes	Scolopacidae	Limosa
Lesueurigobius sanzi	Actinopteri	Unclassified	Gobiiformes	Gobiidae	Lesueurigobius
Lepus timidus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
Lepus americanus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
Laticauda laticaudata	Unclassified	Lepidosauria	Squamata	Elapidae	Laticauda
Laticauda colubrina	Unclassified	Lepidosauria	Squamata	Elapidae	Laticauda
Lateolabrax maculatus	Actinopteri	Unclassified	Pempheriformes	Lateolabracidae	Lateolabrax
Lasiurus borealis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Lasiurus
Lamprogrammus exutus	Actinopteri	Unclassified	Ophidiiformes	Ophidiidae	Lamprogrammus
Lampris guttatus	Actinopteri	Unclassified	Lampriformes	Lampridae	Lampris
Lagenorhynchus obliquidens	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lagenorhynchus
Lacerta viridis	Unclassified	Lepidosauria	Squamata	Lacertidae	Lacerta
Lacerta bilineata	Unclassified	Lepidosauria	Squamata	Lacertidae	Lacerta
Labeo rohita	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Labeo
Kogia breviceps	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Kogia
Junco hyemalis	Aves	Neognathae	Passeriformes	Passerellidae	Junco
Inia geoffrensis	Mammalia	Laurasiatheria	Cetacea	Iniidae	Inia
Hystrix cristata	Mammalia	Euarchontoglires	Rodentia	Hystricidae	Hystrix
Hypoplectrus puella	Actinopteri	Unclassified	Perciformes	Serranidae	Hypoplectrus
Hypophthalmichthys nobilis	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Hypophthalmichthys
Hypophthalmichthys molitrix	Actinopteri	Cypriniphysae	Cypriniformes	Cyprinidae	Hypophthalmichthys
Hydropotes inermis	Mammalia	Laurasiatheria	Unclassified	Cervidae	Hydropotes
Hydrophis melanocephalus	Unclassified	Lepidosauria	Squamata	Hydrophiidae	Hydrophis
Hydrophis cyanocinctus	Unclassified	Lepidosauria	Squamata	Hydrophiidae	Hydrophis
Hydrochoerus hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus
Hyaena hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena
Hucho hucho	Actinopteri	Unclassified	Salmoniformes	Salmonidae	Hucho
Homo sapiens	Mammalia	Euarchontoglires	Primates	Hominidae	Homo
Holocentrus rufus	Actinopteri	Unclassified	Holocentriformes	Holocentridae	Holocentrus
Hirundo rustica	Aves	Neognathae	Passeriformes	Hirundinidae	Hirundo
Hipposideros galeritus	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros
Hipposideros armiger	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros
Hippopotamus amphibius	Mammalia	Laurasiatheria	Unclassified	Hippopotamidae	Hippopotamus
Hippocampus comes	Actinopteri	Unclassified	Syngnathiformes	Syngnathidae	Hippocampus
Himantopus himantopus	Aves	Neognathae	Charadriiformes	Recurvirostridae	Himantopus
Heterohyrax brucei	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Heterohyrax
Hemitragus hylocrius	Mammalia	Laurasiatheria	Unclassified	Bovidae	Hemitragus
Hemignathus virens	Aves	Neognathae	Passeriformes	Fringillidae	Hemignathus
Helostoma temminkii	Actinopteri	Unclassified	Anabantiformes	Helostomatidae	Helostoma
Helogale parvula	Mammalia	Laurasiatheria	Carnivora	Herpestidae	Helogale
Apodemus speciosus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus
Anser brachyrhynchus	Aves	Neognathae	Anseriformes	Anatidae	Anser
Ammotragus lervia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ammotragus
Ailurus fulgens	Mammalia	Laurasiatheria	Carnivora	Ailuridae	Ailurus
Agapornis roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis
Acanthochromis polyacanthus	Actinopteri	Unclassified	Unclassified	Pomacentridae	Acanthochromis
Sinella curviseta	Collembola	Unclassified	Unclassified	Entomobryidae	Sinella
Actinemys marmorata	Unclassified	Unclassified	Testudines	Emydidae	Actinemys
Alces alces	Mammalia	Laurasiatheria	Unclassified	Cervidae	Alces
Leptobrachium leishanense	Amphibia	Batrachia	Anura	Megophryidae	Leptobrachium
Nanger granti	Mammalia	Laurasiatheria	Unclassified	Bovidae	Nanger
Nycticeius humeralis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Nycticeius
Spea multiplicata	Amphibia	Batrachia	Anura	Pelobatidae	Spea
Lacerta agilis	Unclassified	Lepidosauria	Squamata	Lacertidae	Lacerta
Lutra lutra	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra
Oophaga pumilio	Amphibia	Batrachia	Anura	Dendrobatidae	Oophaga
Sapajus apella	Mammalia	Euarchontoglires	Primates	Cebidae	Sapajus
Cynopterus brachyotis	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Cynopterus
Lutra lutra	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Lutra
Mustela erminea	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Mustela
Rhombomys opimus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rhombomys
Thamnophis elegans	Unclassified	Lepidosauria	Squamata	Colubridae	Thamnophis
Trachypithecus francoisi	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Trachypithecus
Crocuta crocuta	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Crocuta
Marmota monax	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Marmota
Mastomys coucha	Mammalia	Euarchontoglires	Rodentia	Muridae	Mastomys
Microcebus griseorufus	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Microcebus mittermeieri	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Microcebus ravelobensis	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Microcebus tavaratra	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Microcebus
Mirza zaza	Mammalia	Euarchontoglires	Primates	Cheirogaleidae	Mirza
Panthera leo	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
Sciurus carolinensis	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Sciurus
Sciurus vulgaris	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Sciurus
Ursus thibetanus thibetanus	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ursus
Antidorcas marsupialis	Mammalia	Laurasiatheria	Unclassified	Bovidae	Antidorcas
Erethizon dorsatum	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon
Kobus ellipsiprymnus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Kobus
Pedetes capensis	Mammalia	Euarchontoglires	Rodentia	Pedetidae	Pedetes
Cuniculus paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus
Indri indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri
Marmota vancouverensis	Mammalia	Euarchontoglires	Rodentia	Sciuridae	Marmota
Tupaia tana	Mammalia	Euarchontoglires	Scandentia	Tupaiidae	Tupaia
Ziphius cavirostris	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius
Halichoerus grypus	Mammalia	Laurasiatheria	Carnivora	Phocidae	Halichoerus
Martes zibellina	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Martes
Micronycteris hirsuta	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Micronycteris
Ptyas mucosa	Unclassified	Lepidosauria	Squamata	Colubridae	Ptyas
Alauda arvensis	Aves	Neognathae	Passeriformes	Alaudidae	Alauda
Grus vipio	Aves	Neognathae	Gruiformes	Gruidae	Grus
Ardeotis arabs	Aves	Neognathae	Gruiformes	Otididae	Ardeotis
Cromileptes altivelis	Actinopteri	Unclassified	Perciformes	Serranidae	Cromileptes
Etheostoma cragini	Actinopteri	Unclassified	Perciformes	Percidae	Etheostoma
Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Grus monacha	Aves	Neognathae	Gruiformes	Gruidae	Grus
Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Gymnobelideus leadbeateri	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus
Lama glama	Mammalia	Laurasiatheria	Unclassified	Camelidae	Lama
Limnodynastes dumerilii	Amphibia	Batrachia	Anura	Myobatrachidae	Limnodynastes
Mallotus villosus	Actinopteri	Unclassified	Osmeriformes	Salangidae	Mallotus
Molothrus ater	Aves	Neognathae	Passeriformes	Icteridae	Molothrus
Nisaetus nipalensis	Aves	Neognathae	Falconiformes	Accipitridae	Nisaetus
Oxyura jamaicensis	Aves	Neognathae	Anseriformes	Anatidae	Oxyura
Pionus senilis	Aves	Neognathae	Psittaciformes	Psittacidae	Pionus
Trachemys scripta	Unclassified	Unclassified	Testudines	Emydidae	Trachemys
Tropheus moorii	Actinopteri	Cichlomorphae	Cichliformes	Cichlidae	Tropheus
Zootoca vivipara	Unclassified	Lepidosauria	Squamata	Lacertidae	Zootoca
